,symbol,model_family,mape
0,LWLG,AutoARIMA,
1,EU,AutoARIMA,
2,SKYT,AutoARIMA,
3,ADAP,AutoARIMA,
4,AREB,AutoARIMA,
5,RZLV,AutoARIMA,
6,LRMR,AutoARIMA,
7,NB,AutoARIMA,
8,PROP,AutoARIMA,
9,IVVD,AutoARIMA,
10,SANA,AutoARIMA,
11,ARBE,AutoARIMA,
12,PGEN,AutoARIMA,
13,CGTX,AutoARIMA,
14,PROK,AutoARIMA,
15,VUZI,AutoARIMA,
16,SATL,AutoARIMA,
17,BLMN,AutoARIMA,
18,NEO,AutoARIMA,
19,BW,AutoARIMA,
20,KOPN,AutoARIMA,
21,NAKA,AutoARIMA,
22,IMVT,AutoARIMA,
23,DPRO,AutoARIMA,
24,ETHZ,AutoARIMA,
25,FSCO,AutoARIMA,
26,HNGE,AutoARIMA,
27,CWH,AutoARIMA,
28,LAZR,AutoARIMA,
29,IRBT,AutoARIMA,
30,BBAR,AutoARIMA,
31,CALM,AutoARIMA,
32,NUVB,AutoARIMA,
33,SRFM,AutoARIMA,
34,WB,AutoARIMA,
35,DEFT,AutoARIMA,
36,SOC,AutoARIMA,
37,BTE,AutoARIMA,
38,CENX,AutoARIMA,
39,ABEO,AutoARIMA,
40,VNET,AutoARIMA,
41,GGAL,AutoARIMA,
42,DOCS,AutoARIMA,
43,ACDC,AutoARIMA,
44,UPXI,AutoARIMA,
45,HTZ,AutoARIMA,
46,GPRK,AutoARIMA,
47,FATE,AutoARIMA,
48,FUN,AutoARIMA,
49,ORBS,AutoARIMA,
50,LDI,AutoARIMA,
51,GGB,AutoARIMA,
52,AVTR,AutoARIMA,
53,CNTA,AutoARIMA,
54,BE,AutoARIMA,
55,IMNM,AutoARIMA,
56,BN,AutoARIMA,
57,IONQ,AutoARIMA,
58,ASAN,AutoARIMA,
59,TVTX,AutoARIMA,
60,RDW,AutoARIMA,
61,VERI,AutoARIMA,
62,TMC,AutoARIMA,
63,TNXP,AutoARIMA,
64,SNY,AutoARIMA,
65,DLO,AutoARIMA,
66,GT,AutoARIMA,
67,EC,AutoARIMA,
68,SONY,AutoARIMA,
69,PGY,AutoARIMA,
70,FFAI,AutoARIMA,
71,LBRT,AutoARIMA,
72,EOLS,AutoARIMA,
73,BLNK,AutoARIMA,
74,AG,AutoARIMA,
75,HYMC,AutoARIMA,
76,AXTI,AutoARIMA,
77,CRNC,AutoARIMA,
78,DHR,AutoARIMA,
79,SERV,AutoARIMA,
80,LYB,AutoARIMA,
81,JELD,AutoARIMA,
82,DFDV,AutoARIMA,
83,DV,AutoARIMA,
84,ORLY,AutoARIMA,
85,WELL,AutoARIMA,
86,NEXT,AutoARIMA,
87,HIVE,AutoARIMA,
88,APP,AutoARIMA,
89,MP,AutoARIMA,
90,TTE,AutoARIMA,
91,SLDP,AutoARIMA,
92,IVR,AutoARIMA,
93,BXSL,AutoARIMA,
94,EVLV,AutoARIMA,
95,NLY,AutoARIMA,
96,BZAI,AutoARIMA,
97,LUMN,AutoARIMA,
98,HL,AutoARIMA,
99,ACHR,AutoARIMA,
100,LUNR,AutoARIMA,
101,AGNC,AutoARIMA,
102,GME,AutoARIMA,
103,MIST,AutoARIMA,
104,LI,AutoARIMA,
105,BTCS,AutoARIMA,
106,CERT,AutoARIMA,
107,ORC,AutoARIMA,
108,REZI,AutoARIMA,
109,TEM,AutoARIMA,
110,RKLB,AutoARIMA,
111,RTX,AutoARIMA,
112,DOW,AutoARIMA,
113,FCX,AutoARIMA,
114,BTI,AutoARIMA,
115,OBDC,AutoARIMA,
116,NVO,AutoARIMA,
117,RGTI,AutoARIMA,
118,HPE,AutoARIMA,
119,PBR,AutoARIMA,
120,VFC,AutoARIMA,
121,AZN,AutoARIMA,
122,GLXY,AutoARIMA,
123,RIVN,AutoARIMA,
124,TRIN,AutoARIMA,
125,SBET,AutoARIMA,
126,SMR,AutoARIMA,
127,AL,AutoARIMA,
128,AA,AutoARIMA,
129,PYPL,AutoARIMA,
130,APLD,AutoARIMA,
131,NIO,AutoARIMA,
132,BABA,AutoARIMA,
133,WU,AutoARIMA,
134,CEG,AutoARIMA,
135,FSLR,AutoARIMA,
136,HON,AutoARIMA,
137,MDT,AutoARIMA,
138,PHYS,AutoARIMA,
139,APA,AutoARIMA,
140,MRNA,AutoARIMA,
141,OXY,AutoARIMA,
142,LMT,AutoARIMA,
143,PR,AutoARIMA,
144,CRWV,AutoARIMA,
145,QUBT,AutoARIMA,
146,SE,AutoARIMA,
147,BKSY,AutoARIMA,
148,PDI,AutoARIMA,
149,AXP,AutoARIMA,
150,FSK,AutoARIMA,
151,MPW,AutoARIMA,
152,JPM,AutoARIMA,
153,BA,AutoARIMA,
154,PCG,AutoARIMA,
155,AMZN,AutoARIMA,
156,GEO,AutoARIMA,
157,ACMR,AutoARIMA,
158,BIDU,AutoARIMA,
159,OUST,AutoARIMA,
160,CSCO,AutoARIMA,
161,TXN,AutoARIMA,
162,JD,AutoARIMA,
163,CVE,AutoARIMA,
164,CIFR,AutoARIMA,
165,COST,AutoARIMA,
166,QCOM,AutoARIMA,
167,NVTS,AutoARIMA,
168,ECC,AutoARIMA,
169,STWD,AutoARIMA,
170,GFI,AutoARIMA,
171,ARCC,AutoARIMA,
172,XYZ,AutoARIMA,
173,MRK,AutoARIMA,
174,CLSK,AutoARIMA,
175,NOG,AutoARIMA,
176,USAR,AutoARIMA,
177,IBM,AutoARIMA,
178,V,AutoARIMA,
179,KOD,AutoARIMA,
180,FCEL,AutoARIMA,
181,LPTH,AutoARIMA,
182,B,AutoARIMA,
183,NU,AutoARIMA,
184,INFY,AutoARIMA,
185,LMND,AutoARIMA,
186,APH,AutoARIMA,
187,WFC,AutoARIMA,
188,MARA,AutoARIMA,
189,SNAP,AutoARIMA,
190,NOW,AutoARIMA,
191,SYK,AutoARIMA,
192,AEO,AutoARIMA,
193,JNJ,AutoARIMA,
194,ANF,AutoARIMA,
195,SAN,AutoARIMA,
196,TJX,AutoARIMA,
197,UNP,AutoARIMA,
198,WBD,AutoARIMA,
199,COF,AutoARIMA,
200,ABBV,AutoARIMA,
201,ASTS,AutoARIMA,
202,VZ,AutoARIMA,
203,AAL,AutoARIMA,
204,CRWD,AutoARIMA,
205,DX,AutoARIMA,
206,IBKR,AutoARIMA,
207,LCID,AutoARIMA,
208,QS,AutoARIMA,
209,KKR,AutoARIMA,
210,PDD,AutoARIMA,
211,XOM,AutoARIMA,
212,HD,AutoARIMA,
213,NRG,AutoARIMA,
214,ZIM,AutoARIMA,
215,AI,AutoARIMA,
216,SBUX,AutoARIMA,
217,ACN,AutoARIMA,
218,CMCSA,AutoARIMA,
219,NKE,AutoARIMA,
220,GOOGL,AutoARIMA,
221,JOBY,AutoARIMA,
222,CRM,AutoARIMA,
223,NEM,AutoARIMA,
224,GAP,AutoARIMA,
225,DVN,AutoARIMA,
226,LYFT,AutoARIMA,
227,MRVL,AutoARIMA,
228,RIOT,AutoARIMA,
229,GS,AutoARIMA,
230,LOW,AutoARIMA,
231,RBRK,AutoARIMA,
232,GOOG,AutoARIMA,
233,T,AutoARIMA,
234,MA,AutoARIMA,
235,WMT,AutoARIMA,
236,KO,AutoARIMA,
237,MCD,AutoARIMA,
238,ENB,AutoARIMA,
239,GILD,AutoARIMA,
240,HOOD,AutoARIMA,
241,AMGN,AutoARIMA,
242,GE,AutoARIMA,
243,DAL,AutoARIMA,
244,TLRY,AutoARIMA,
245,MMSI,AutoARIMA,
246,SPHR,AutoARIMA,
247,KT,AutoARIMA,
248,ONTO,AutoARIMA,
249,PAY,AutoARIMA,
250,SAP,AutoARIMA,
251,VCEL,AutoARIMA,
252,NVCR,AutoARIMA,
253,TNDM,AutoARIMA,
254,ARHS,AutoARIMA,
255,TRON,AutoARIMA,
256,BKKT,AutoARIMA,
257,NEOG,AutoARIMA,
258,TKO,AutoARIMA,
259,LBRDK,AutoARIMA,
260,CB,AutoARIMA,
261,STGW,AutoARIMA,
262,HAFN,AutoARIMA,
263,USA,AutoARIMA,
264,MFA,AutoARIMA,
265,IRWD,AutoARIMA,
266,DE,AutoARIMA,
267,IRM,AutoARIMA,
268,PRO,AutoARIMA,
269,GKOS,AutoARIMA,
270,HCA,AutoARIMA,
271,VNO,AutoARIMA,
272,CMA,AutoARIMA,
273,SFL,AutoARIMA,
274,FERG,AutoARIMA,
275,CDNS,AutoARIMA,
276,RCL,AutoARIMA,
277,IT,AutoARIMA,
278,ENTG,AutoARIMA,
279,MTDR,AutoARIMA,
280,ADPT,AutoARIMA,
281,MCW,AutoARIMA,
282,LIN,AutoARIMA,
283,SMFG,AutoARIMA,
284,GBDC,AutoARIMA,
285,EVTL,AutoARIMA,
286,TD,AutoARIMA,
287,SLNO,AutoARIMA,
288,RH,AutoARIMA,
289,WES,AutoARIMA,
290,URBN,AutoARIMA,
291,INTR,AutoARIMA,
292,ETN,AutoARIMA,
293,BUD,AutoARIMA,
294,AESI,AutoARIMA,
295,SHO,AutoARIMA,
296,MMC,AutoARIMA,
297,CLNE,AutoARIMA,
298,ADP,AutoARIMA,
299,NEGG,AutoARIMA,
300,BAM,AutoARIMA,
301,MFG,AutoARIMA,
302,SPGI,AutoARIMA,
303,VRTX,AutoARIMA,
304,TMO,AutoARIMA,
305,ISRG,AutoARIMA,
306,KALV,AutoARIMA,
307,CIVI,AutoARIMA,
308,CWK,AutoARIMA,
309,MUR,AutoARIMA,
310,MGA,AutoARIMA,
311,SUPV,AutoARIMA,
312,CPRI,AutoARIMA,
313,SAIL,AutoARIMA,
314,CAT,AutoARIMA,
315,TMUS,AutoARIMA,
316,BXP,AutoARIMA,
317,ICE,AutoARIMA,
318,AMT,AutoARIMA,
319,EQH,AutoARIMA,
320,ADI,AutoARIMA,
321,CCI,AutoARIMA,
322,UL,AutoARIMA,
323,PGR,AutoARIMA,
324,ABNB,AutoARIMA,
325,PLTK,AutoARIMA,
326,DXC,AutoARIMA,
327,PLD,AutoARIMA,
328,BHP,AutoARIMA,
329,CWAN,AutoARIMA,
330,HDB,AutoARIMA,
331,BILI,AutoARIMA,
332,PM,AutoARIMA,
333,LULU,AutoARIMA,
334,IBN,AutoARIMA,
335,ABT,AutoARIMA,
336,SHEL,AutoARIMA,
337,KSS,AutoARIMA,
338,TSHA,AutoARIMA,
339,UPST,AutoARIMA,
340,PACB,AutoARIMA,
341,SO,AutoARIMA,
342,PANW,AutoARIMA,
343,SCHW,AutoARIMA,
344,ETNB,AutoARIMA,
345,EBAY,AutoARIMA,
346,AMAT,AutoARIMA,
347,FUBO,AutoARIMA,
348,BSX,AutoARIMA,
349,AMC,AutoARIMA,
350,BMY,AutoARIMA,
351,LAES,AutoARIMA,
352,WULF,AutoARIMA,
353,PFE,AutoARIMA,
354,SOUN,AutoARIMA,
355,AAPL,AutoARIMA,
356,KVUE,AutoARIMA,
357,BBAI,AutoARIMA,
358,RDDT,AutoARIMA,
359,PG,AutoARIMA,
360,UPS,AutoARIMA,
361,FSM,AutoARIMA,
362,MU,AutoARIMA,
363,GLOB,AutoARIMA,
364,ADBE,AutoARIMA,
365,TGT,AutoARIMA,
366,DASH,AutoARIMA,
367,HSBC,AutoARIMA,
368,TSM,AutoARIMA,
369,INTU,AutoARIMA,
370,DUK,AutoARIMA,
371,AFRM,AutoARIMA,
372,CVX,AutoARIMA,
373,UBER,AutoARIMA,
374,SNPS,AutoARIMA,
375,COP,AutoARIMA,
376,DKNG,AutoARIMA,
377,KEY,AutoARIMA,
378,RKT,AutoARIMA,
379,ORCL,AutoARIMA,
380,PLTR,AutoARIMA,
381,IREN,AutoARIMA,
382,SNOW,AutoARIMA,
383,DELL,AutoARIMA,
384,GLW,AutoARIMA,
385,DJT,AutoARIMA,
386,DIS,AutoARIMA,
387,BAC,AutoARIMA,
388,TROW,AutoARIMA,
389,MS,AutoARIMA,
390,SHOP,AutoARIMA,
391,NEE,AutoARIMA,
392,C,AutoARIMA,
393,MSTR,AutoARIMA,
394,AVGO,AutoARIMA,
395,ATYR,AutoARIMA,
396,SOFI,AutoARIMA,
397,QBTS,AutoARIMA,
398,YPF,AutoARIMA,
399,CHWY,AutoARIMA,
400,NFLX,AutoARIMA,
401,VALE,AutoARIMA,
402,ILMN,AutoARIMA,
403,PEP,AutoARIMA,
404,EOSE,AutoARIMA,
405,CMG,AutoARIMA,
406,META,AutoARIMA,
407,NCLH,AutoARIMA,
408,ASML,AutoARIMA,
409,SPOT,AutoARIMA,
410,INOD,AutoARIMA,
411,ANET,AutoARIMA,
412,XPEV,AutoARIMA,
413,FUTU,AutoARIMA,
414,RBLX,AutoARIMA,
415,EFC,AutoARIMA,
416,UAL,AutoARIMA,
417,ARM,AutoARIMA,
418,CLF,AutoARIMA,
419,NKTR,AutoARIMA,
420,VIST,AutoARIMA,
421,UBS,AutoARIMA,
422,PK,AutoARIMA,
423,MO,AutoARIMA,
424,LRCX,AutoARIMA,
425,F,AutoARIMA,
426,CYTK,AutoARIMA,
427,MNKD,AutoARIMA,
428,TSLA,AutoARIMA,
429,CME,AutoARIMA,
430,TTD,AutoARIMA,
431,NBIS,AutoARIMA,
432,MSFT,AutoARIMA,
433,COIN,AutoARIMA,
434,PFLT,AutoARIMA,
435,GOOD,AutoARIMA,
436,SFIX,AutoARIMA,
437,EBS,AutoARIMA,
438,GM,AutoARIMA,
439,INTC,AutoARIMA,
440,LLY,AutoARIMA,
441,UNH,AutoARIMA,
442,CNC,AutoARIMA,
443,ABR,AutoARIMA,
444,NVDA,AutoARIMA,
445,MVST,AutoARIMA,
446,QDEL,AutoARIMA,
447,U,AutoARIMA,
448,M,AutoARIMA,
449,AMD,AutoARIMA,
450,DNLI,AutoARIMA,
451,CMBT,AutoARIMA,
452,ANNX,AutoARIMA,
453,BP,AutoARIMA,
454,CORZ,AutoARIMA,
455,VITL,AutoARIMA,
456,FRPT,AutoARIMA,
457,NAT,AutoARIMA,
458,ZM,AutoARIMA,
459,BTDR,AutoARIMA,
460,CVNA,AutoARIMA,
461,BX,AutoARIMA,
462,OPFI,AutoARIMA,
463,CTMX,AutoARIMA,
464,BTBT,AutoARIMA,
465,BYND,AutoARIMA,
466,BIP,AutoARIMA,
467,ELDN,AutoARIMA,
468,IMRX,AutoARIMA,
469,CCJ,AutoARIMA,
470,ENPH,AutoARIMA,
471,FRO,AutoARIMA,
472,BCE,AutoARIMA,
473,HIMS,AutoARIMA,
474,ONDS,AutoARIMA,
475,BITF,AutoARIMA,
476,NOK,AutoARIMA,
477,DNA,AutoARIMA,
478,VYGR,AutoARIMA,
479,MUFG,AutoARIMA,
480,EVGO,AutoARIMA,
481,GNPX,AutoARIMA,
482,CVS,AutoARIMA,
483,SNDX,AutoARIMA,
484,BEAM,AutoARIMA,
485,PRCH,AutoARIMA,
486,BULL,AutoARIMA,
487,PUMP,AutoARIMA,
488,GEV,AutoARIMA,
489,PDYN,AutoARIMA,
490,WOOF,AutoARIMA,
491,SGMO,AutoARIMA,
492,SPCE,AutoARIMA,
493,OSCR,AutoARIMA,
494,BBNX,AutoARIMA,
495,CROX,AutoARIMA,
496,MBOT,AutoARIMA,
497,SMCI,AutoARIMA,
498,LXRX,AutoARIMA,
499,GRAB,AutoARIMA,
500,BTX,AutoARIMA,
501,VFF,AutoARIMA,
502,UPWK,AutoARIMA,
503,VST,AutoARIMA,
504,PBF,AutoARIMA,
505,MIR,AutoARIMA,
506,TSSI,AutoARIMA,
507,OPI,AutoARIMA,
508,TRVI,AutoARIMA,
509,OKLO,AutoARIMA,
510,IOVA,AutoARIMA,
511,ALTS,AutoARIMA,
512,VSTM,AutoARIMA,
513,SES,AutoARIMA,
514,OPAD,AutoARIMA,
515,HOUS,AutoARIMA,
516,GOGO,AutoARIMA,
517,PAGS,AutoARIMA,
518,REPL,AutoARIMA,
519,TNYA,AutoARIMA,
520,SEI,AutoARIMA,
521,CLOV,AutoARIMA,
522,NRGV,AutoARIMA,
523,CRBU,AutoARIMA,
524,BTSG,AutoARIMA,
525,AIRE,AutoARIMA,
526,TDUP,AutoARIMA,
527,OPEN,AutoARIMA,
528,GPRO,AutoARIMA,
529,ABSI,AutoARIMA,
530,MYGN,AutoARIMA,
531,TNGX,AutoARIMA,
532,RNA,AutoARIMA,
533,RAPP,AutoARIMA,
534,SM,AutoARIMA,
535,ISPC,AutoARIMA,
536,MGIH,AutoARIMA,
537,ORIS,AutoARIMA,
538,KURA,AutoARIMA,
539,MOH,AutoARIMA,
540,FWRG,AutoARIMA,
541,CBZ,AutoARIMA,
542,KDP,AutoARIMA,
543,EQT,AutoARIMA,
544,PII,AutoARIMA,
545,PSNL,AutoARIMA,
546,ZNTL,AutoARIMA,
547,ARCT,AutoARIMA,
548,CELC,AutoARIMA,
549,ALEC,AutoARIMA,
550,VSAT,AutoARIMA,
551,VIR,AutoARIMA,
552,MTSR,AutoARIMA,
553,2634,AutoARIMA,
554,2645,AutoARIMA,
555,SRG,AutoARIMA,
556,MELI,AutoARIMA,
557,ALGM,AutoARIMA,
558,DXCM,AutoARIMA,
559,ITGR,AutoARIMA,
560,IRDM,AutoARIMA,
561,HQY,AutoARIMA,
562,BURL,AutoARIMA,
